Hydrochoerus isthmius
Chloroleucon mangense
Astronium fraxinifolium
Aricoris erostratus
Jacquemontia cumanensis
Sakesphorus canadensis
Diaphanosoma birgei
Crotalaria purdieana
Thecla demonassa
Momotus subrufescens
Prepona laertes
Anadara notabilis
Roeboides dayi
Camponotus lindigi
Leptotes theonus
Morpho helenor
Quadrella incana
Mandevilla subsagittata
Senna italica
Egretta caerulea
Epicrates cenchria
Thamnodynastes paraguanae
Justicia bracteosa
Polychrus marmoratus
Setophaga striata
Oxybelis vittatus
Cathartes aura
Forpus conspicillatus
Mesosemia lamachus
Trixis inula
Pradosia colombiana
Simira klugei
Chrysolampis mosquitus
Agaricia agaricites
Distimake aegyptius
Galictis vittata
Tetradesmus lagerheimii
Synedra ulna
Artibeus amplus
Tabernaemontana cymosa
Galeripora discoides
Dioclea sericea
Roseodendron chryseum
Simulium vittatum
Dasypus novemcinctus
Philodendron erubescens
Copidaster lymani
Syringodium filiforme
Melanoides tuberculata
Peropteryx macrotis
Tabebuia serratifolia
Trichocerca chattoni
Combretum fruticosum
Chironomus attenuatus
Bignonia pterocalyx
Erythrolamprus melanotus
Camptostoma obsoletum
Cacicus cela
Nycticorax nycticorax
Hoplosternum magdalenae
Astronium graveolens
Plationus patulus
Brachionus falcatus
Heliopetes laviana
Passiflora bicornis
Tetraechma liturata
Bulla striata
Strymon astiocha
Pithecellobium roseum
Hemitriccus margaritaceiventer
Euphonia trinitatis
Thamnophilus melanonotus
Sarcoramphus papa
Platymiscium hebestachyum
Senegalia polyphylla
Trachops cirrhosus
Dendrocygna autumnalis
Laguncularia racemosa
Ectatomma goninion
Caria domitianus
Belostoma micantulum
Lecane quadridentata
Inezia tenuirostris
Uroderma bilobatum
Bauhinia pauletia
Deltochilum orbignyi
Geoffroea spinosa
Eurysternus impressicollis
Scinax ruber
Conepatus semistriatus
Leptotes cassius
Pimelodella odynea
Machaerium arboreum
Icterus auricapillus
Machaerium capote
Vachellia farnesiana
Lemmermannia spec
Sturisomatichthys festivum
Procyon lotor
Tringa melanoleuca
Epicrates maurus
Formicivora grisea
Cabares potrillo
Pteronotus gymnonotus
Deltochilum gibbosum
Mentzelia aspera
Cuniculus paca
Pyrgus communis
Limenitis fessonia
Arcella dentata
Saccopteryx leptura
Troglodytes aedon
Lytechinus variegatus
Melanthera nivea
Mimosa pigra
Thamnophilus doliatus
Mascagnia macradena
Thaumatomyrmex atrox
Actitis macularius
Sesbania exasperata
Anthanassa hermas
Chrysuronia goudoti
Libidibia coriaria
Mazama americana
Leporinus muyscorum
Briareum asbestinum
Camponotus silvicola
Dicliptera sexangularis
Synallaxis candei
Setophaga petechia
Trachycephalus typhonius
Janatella leucodesma
Buteogallus anthracinus
Myrmeleon immaculatus
Melanerpes rubricapillus
Euptychia harmonia
Boerhavia diffusa
Labidus coecus
Calliandra magdalenae
Lonchocarpus atropurpureus
Petiveria alliacea
Polites vibex
Tephrosia cinerea
Canthon cyanellus
Eurysternus foedus
Platalea ajaja
Melicoccus bijugatus
Canthon septemmaculatus
Schaefferia frutescens
Solanum lanceifolium
Noctilio leporinus
Pimelodella chagresi
Danaus plexippus
Boana pugnax
Buteo swainsoni
Plumeria alba
Siderone marthesia
Malpighia emarginata
Vanellus chilensis
Centropomus ensiferus
Difflugia acuminata
Setophaga citrina
Puma concolor
Pheugopedius rutilus
Phyllodactylus ventralis
Trachycephalus venulosus
Bactris guineensis
Thraupis episcopus
Nyctidromus albicollis
Leucippus fallax
Polygonus leo
Oligoryzomys fulvescens
Fonchiiichthys rupestris
Ochroma pyramidale
Florisuga mellivora
Phanaeus prasinus
Urbanus simplicius
Caesalpinia coriaria
Coulteria mollis
Sporophila minuta
Poecilotriccus sylvia
Lecane bulla
Cryptopone guianensis
Piranga rubra
Pachycondyla impressa
Quiscalus mexicanus
Saucerottia saucerottei
Harpagus bidentatus
Anochetus simoni
Parinari pachyphylla
Creagrutus hildebrandi
Rhynchocyclus olivaceus
Forsteronia spicata
Pithecellobium dulce
Pyrrhogyra neaerea
Carollia perspicillata
Fragilaria crotonensis
Handroanthus chrysanthus
Chroococcus turgidus
Sarkidiornis melanotos
Crematogaster torosa
Astraptes anaphus
Aplysina cauliformis
Carollia brevicaudum
Aratinga acuticaudata
Cordia alliodora
Arremonops conirostris
Vireo olivaceus
Puma yagouaroundi
Holcosus festivus
Brycon moorei
Cereus hexagonus
Pachycondyla fuscoatra
Euscarthmus meloryphus
Canthon acutus
Elanoides forficatus
Pheidole ajax
Platythyrea pilosula
Lonchophylla concava
Quiscalus lugubris
Mylon pelopidas
Pyrisitia venusta
Micrurus dissoleucus
Solanum hirtum
Nitzschia acicularis
Doxocopa laurentia
Picumnus cinnamomeus
Vireo altiloquus
Leiothlypis peregrina
Chlorostilbon gibsoni
Trachelyopterus insignis
